title,brand,superbowl_ads_dot_com_url,youtube_url,year,funny,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
Bud Light Wine & Cheese Party Commercial,Bud Light,https://superbowl-ads.com/2008-bud-light-wine-cheese-party/,https://www.youtube.com/watch?v=aEWtTVaIH0M,2008,TRUE,FALSE,FALSE,FALSE,FALSE,555734,414,58,45
Super Bowl 2012 Commercial: Pepsi - King's Court,Pepsi,https://superbowl-ads.com/2012-pepsi-kings-court/,https://www.youtube.com/watch?v=3rZs8ZKTsp0,2012,FALSE,TRUE,FALSE,FALSE,FALSE,582575,1526,138,304
Doritos Crash the Superbowl Winner 2012 - Man's Best Friend,Doritos,https://superbowl-ads.com/2012-doritos-mans-best-friend/,https://www.youtube.com/watch?v=kMmd0WaQFGE,2012,TRUE,FALSE,TRUE,TRUE,FALSE,86928,130,12,6
Toyota Camry 2012 Super Bowl Commercial shows Reinvented Possibilities,Toyota,https://superbowl-ads.com/2012-toyota-camry-its-reinvented/,https://www.youtube.com/watch?v=oYdJKey7VpU,2012,TRUE,FALSE,TRUE,TRUE,TRUE,116294,1153,13,56
Bud Light - Hawk Superbowl XXXVI Commercial,Bud Light,https://superbowl-ads.com/2002-bud-light-falcon/,https://www.youtube.com/watch?v=ZBD4dYTpYAU,2002,TRUE,FALSE,TRUE,TRUE,TRUE,3548,13,0,0
Bud Light Battle Bot commercial,Bud Light,https://superbowl-ads.com/2002-bud-light-robobash/,https://www.youtube.com/watch?v=oJvsWvaTr4w,2002,TRUE,FALSE,TRUE,FALSE,FALSE,63129,178,5,15
Budweiser breath fire superbowl commercial,Bud Light,https://superbowl-ads.com/2008-bud-light-breathe-fire/,https://www.youtube.com/watch?v=AhqPl1IKVo4,2008,TRUE,FALSE,TRUE,TRUE,FALSE,24595,26,3,5
Coke Coca Cola Polar Bears Super Bowl Open Happiness Campaign 'Argh' TVC Commercial Advert in 2012,Coca-Cola,https://superbowl-ads.com/2012-coca-cola-arghh-ny-bear/,https://www.youtube.com/watch?v=jhvAXT9R_3U,2012,FALSE,FALSE,FALSE,TRUE,FALSE,15776,63,4,2
Jimi Hendrix Pepsi Vs Coca Cola Commercial,Pepsi,https://superbowl-ads.com/2004-pepsi-jimi-hendrix/,https://www.youtube.com/watch?v=NOOmu1Rz17Y,2004,TRUE,FALSE,FALSE,FALSE,FALSE,55676,222,9,26
"Doritos SuperBowl Commercial - ""Dog Shock Collar""",Doritos,https://superbowl-ads.com/hd-exclusive-dog-shock-collar-doritos-commercial-super-bowl-44-2010-super-bowl-xliv/,https://www.youtube.com/watch?v=UBaZDWIs3fs,2010,TRUE,FALSE,TRUE,TRUE,FALSE,132054,273,18,15
A Dream Car. For Real Life - 2012 Kia Optima Big Game Full Commercial - Extended Version,Kia,https://superbowl-ads.com/2012-kia-optima-drive-the-dream-extended-version/,https://www.youtube.com/watch?v=9RI6OGXq11Y,2012,TRUE,TRUE,FALSE,FALSE,TRUE,56257,396,5,42
NFL Timeline,NFL,https://superbowl-ads.com/2012-nfl-timeline/,https://www.youtube.com/watch?v=CPr4-P19NtE,2012,FALSE,TRUE,FALSE,FALSE,FALSE,403641,1980,42,206
[HD] Super Bowl 2010 Commercial with Brett Favre | New Hyundai Super Bowl 44 XLIV Commercial,Hynudai,https://superbowl-ads.com/hd-exclusive-2010-super-bowl-xliv-commercial-with-brett-favre-hyundai-commercial/,https://www.youtube.com/watch?v=KqAWv2wCW8I,2010,FALSE,TRUE,FALSE,FALSE,FALSE,176547,306,11,84
Bud Light Paintball Commercial.avi,Bud Light,https://superbowl-ads.com/2004-bud-light-paintball/,https://www.youtube.com/watch?v=qbS0gF3YdBg,2004,TRUE,FALSE,TRUE,FALSE,FALSE,561,6,0,1
Bud Light Commercial - X-Ray Vision,Bud Light,https://superbowl-ads.com/2008-bud-light-x-ray-vision/,https://www.youtube.com/watch?v=cOEMI8HRhlA,2008,TRUE,FALSE,FALSE,FALSE,TRUE,166102,161,10,24
Funny Bud Light Commercial Secret Magic Fridge,Bud Light,https://superbowl-ads.com/2006-bud-light-magic-fridge/,https://www.youtube.com/watch?v=67dRRrRz2t8,2006,TRUE,FALSE,FALSE,FALSE,FALSE,95355,328,14,9
Coca-Cola Happiness Factory commercial HD,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-happiness-factory/,https://www.youtube.com/watch?v=NwZpO6saPxI,2007,FALSE,FALSE,FALSE,TRUE,FALSE,11311,29,3,1
2014 Super Bowl Commercial Budweiser Dalmatian - 2007 Super Bowl Commercial TVC,Budweiser,https://superbowl-ads.com/2007-budweiser-dalmatian/,https://www.youtube.com/watch?v=esOPYOeotTU,2007,FALSE,FALSE,TRUE,TRUE,FALSE,48035,47,2,1
t-pain bud light superbowl 44 commercial hd,Bud Light,https://superbowl-ads.com/hd-exclusive-bud-light-auto-tune-t-pain-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=bDhjcP02GQg,2010,TRUE,TRUE,FALSE,FALSE,FALSE,34565,100,6,15
Power of the Crunch,Doritos,https://superbowl-ads.com/2009-doritos-power-of-the-crunch/,https://www.youtube.com/watch?v=7DZao4kN73M,2009,TRUE,FALSE,TRUE,TRUE,TRUE,640393,1921,215,208
Mean Troy - Coke Zero Super Bowl Ad,Coca-Cola,https://superbowl-ads.com/2009-coke-zero-mean-troy/,https://www.youtube.com/watch?v=XKFUcEkIbEg,2009,TRUE,TRUE,TRUE,FALSE,FALSE,45799,99,7,21
Pepsi Super Bowl 2009 Commercial: Anthem,Pepsi,https://superbowl-ads.com/2009-pepsi-anthem/,https://www.youtube.com/watch?v=WIzKwJmYLNs,2009,FALSE,TRUE,TRUE,FALSE,FALSE,1294,7,0,2
E-Trade Chimp On a Horse TV Commercial,E-Trade,https://superbowl-ads.com/2001-etrade-dot-com-ghost-town/,https://www.youtube.com/watch?v=ONZFkqzuMjI,2001,FALSE,FALSE,TRUE,TRUE,FALSE,103433,167,7,3
Bud Light | Battle Pep Talk Dilly Dilly,Bud Light,https://superbowl-ads.com/bud-light-ye-olde-pep-talk/,https://www.youtube.com/watch?v=xza7T89Lda4,2018,TRUE,FALSE,TRUE,TRUE,FALSE,41441,224,7,9
Kia - Big Game (2010 Super bowl Ad),Kia,https://superbowl-ads.com/hd-exclusive-kias-big-game-commercial-2010-super-bowl-44-xliv-ad/,https://www.youtube.com/watch?v=7q2yVq6fDEg,2010,TRUE,FALSE,FALSE,TRUE,TRUE,50850,92,4,11
"Funny Super Bowl Commercial 2008 - Doritos: ""Mouse Trap""",Doritos,https://superbowl-ads.com/2008-doritos-mouse-trap/,https://www.youtube.com/watch?v=h8qgk5tXuUA,2008,TRUE,FALSE,TRUE,FALSE,FALSE,232124,988,31,96
"Coke 2012 Commercial - Coca-Cola Open Happiness - ""Superstition""",Coca-Cola,https://superbowl-ads.com/2012-coca-cola-superstition/,https://www.youtube.com/watch?v=x1nttVdja9s,2012,FALSE,FALSE,FALSE,TRUE,FALSE,10925,71,18,3
